city,confirmedCount,curedCount,deadCount,province,suspectedCount,updateTime
外地来沪人员,111,98,1,上海市,0.0,2020-03-05
浦东新区,61,54,0,上海市,0.0,2020-03-05
宝山,21,16,0,上海市,0.0,2020-03-05
静安,16,14,0,上海市,0.0,2020-03-05
松江,14,12,0,上海市,0.0,2020-03-05
嘉定,9,7,0,上海市,0.0,2020-03-05
徐汇,18,17,0,上海市,0.0,2020-03-05
虹口,7,6,0,上海市,0.0,2020-03-05
黄浦,6,5,0,上海市,0.0,2020-03-05
青浦,6,5,0,上海市,0.0,2020-03-05
境外输入人员,1,0,0,上海市,0.0,2020-03-05
闵行,19,19,0,上海市,0.0,2020-03-05
长宁,13,13,0,上海市,0.0,2020-03-05
普陀,11,11,0,上海市,0.0,2020-03-05
杨浦,9,9,0,上海市,0.0,2020-03-05
奉贤,9,9,0,上海市,0.0,2020-03-05
金山,4,4,0,上海市,0.0,2020-03-05
崇明,4,4,0,上海市,0.0,2020-03-05
待明确,0,0,2,上海市,0.0,2020-03-05
外地来沪人员,111,97,1,上海市,0.0,2020-03-04
浦东新区,61,53,0,上海市,0.0,2020-03-04
宝山,21,15,0,上海市,0.0,2020-03-04
徐汇,18,16,0,上海市,0.0,2020-03-04
静安,16,14,0,上海市,0.0,2020-03-04
松江,14,12,0,上海市,0.0,2020-03-04
嘉定,9,7,0,上海市,0.0,2020-03-04
黄浦,6,4,0,上海市,0.0,2020-03-04
闵行,19,18,0,上海市,0.0,2020-03-04
普陀,11,10,0,上海市,0.0,2020-03-04
虹口,7,6,0,上海市,0.0,2020-03-04
青浦,6,5,0,上海市,0.0,2020-03-04
金山,4,3,0,上海市,0.0,2020-03-04
崇明,4,3,0,上海市,0.0,2020-03-04
长宁,13,13,0,上海市,0.0,2020-03-04
杨浦,9,9,0,上海市,0.0,2020-03-04
奉贤,9,9,0,上海市,0.0,2020-03-04
待明确,0,4,2,上海市,0.0,2020-03-04
外地来沪人员,112,96,1,上海市,0.0,2020-03-03
浦东新区,60,52,0,上海市,0.0,2020-03-03
宝山,21,15,0,上海市,0.0,2020-03-03
徐汇,18,16,0,上海市,0.0,2020-03-03
静安,16,14,0,上海市,0.0,2020-03-03
松江,14,12,0,上海市,0.0,2020-03-03
嘉定,9,7,0,上海市,0.0,2020-03-03
黄浦,6,4,0,上海市,0.0,2020-03-03
闵行,19,18,0,上海市,0.0,2020-03-03
普陀,11,10,0,上海市,0.0,2020-03-03
奉贤,9,8,0,上海市,0.0,2020-03-03
虹口,7,6,0,上海市,0.0,2020-03-03
青浦,6,5,0,上海市,0.0,2020-03-03
金山,4,3,0,上海市,0.0,2020-03-03
崇明,4,3,0,上海市,0.0,2020-03-03
长宁,13,13,0,上海市,0.0,2020-03-03
杨浦,9,9,0,上海市,0.0,2020-03-03
待明确,0,3,2,上海市,0.0,2020-03-03
外地来沪人员,111,95,1,上海市,0.0,2020-03-02
浦东新区,60,52,0,上海市,0.0,2020-03-02
宝山,21,15,0,上海市,0.0,2020-03-02
徐汇,18,16,0,上海市,0.0,2020-03-02
静安,16,14,0,上海市,0.0,2020-03-02
松江,14,12,0,上海市,0.0,2020-03-02
嘉定,9,7,0,上海市,0.0,2020-03-02
黄浦,6,4,0,上海市,0.0,2020-03-02
闵行,19,18,0,上海市,0.0,2020-03-02
普陀,11,10,0,上海市,0.0,2020-03-02
奉贤,9,8,0,上海市,0.0,2020-03-02
虹口,7,6,0,上海市,0.0,2020-03-02
青浦,6,5,0,上海市,0.0,2020-03-02
金山,4,3,0,上海市,0.0,2020-03-02
崇明,4,3,0,上海市,0.0,2020-03-02
