city,confirmedCount,curedCount,deadCount,province,suspectedCount,updateTime
外地来沪人员,111,98,1,上海市,0.0,2020-03-05
浦东新区,61,54,0,上海市,0.0,2020-03-05
宝山,21,16,0,上海市,0.0,2020-03-05
静安,16,14,0,上海市,0.0,2020-03-05
松江,14,12,0,上海市,0.0,2020-03-05
嘉定,9,7,0,上海市,0.0,2020-03-05
徐汇,18,17,0,上海市,0.0,2020-03-05
虹口,7,6,0,上海市,0.0,2020-03-05
黄浦,6,5,0,上海市,0.0,2020-03-05
青浦,6,5,0,上海市,0.0,2020-03-05
境外输入人员,1,0,0,上海市,0.0,2020-03-05
闵行,19,19,0,上海市,0.0,2020-03-05
长宁,13,13,0,上海市,0.0,2020-03-05
普陀,11,11,0,上海市,0.0,2020-03-05
杨浦,9,9,0,上海市,0.0,2020-03-05
奉贤,9,9,0,上海市,0.0,2020-03-05
金山,4,4,0,上海市,0.0,2020-03-05
崇明,4,4,0,上海市,0.0,2020-03-05
待明确,0,0,2,上海市,0.0,2020-03-05
浦东,25,0,0,上海市,0.0,2020-01-31
昆明,53,52,0,云南省,0.0,2020-03-03
曲靖,13,12,0,云南省,0.0,2020-03-03
德宏州,5,4,0,云南省,0.0,2020-03-03
昭通,25,25,0,云南省,0.0,2020-03-03
西双版纳,15,14,1,云南省,0.0,2020-03-03
玉溪,14,13,1,云南省,0.0,2020-03-03
大理州,13,13,0,云南省,0.0,2020-03-03
红河州,9,9,0,云南省,0.0,2020-03-03
保山,9,9,0,云南省,0.0,2020-03-03
丽江,7,7,0,云南省,0.0,2020-03-03
普洱,4,4,0,云南省,0.0,2020-03-03
楚雄州,4,4,0,云南省,0.0,2020-03-03
文山州,2,2,0,云南省,0.0,2020-03-03
临沧,1,1,0,云南省,0.0,2020-03-03
待明确,0,2,0,云南省,0.0,2020-02-15
大理,13,2,0,云南省,0.0,2020-02-10
红河,6,2,0,云南省,0.0,2020-02-10
德宏,5,0,0,云南省,0.0,2020-02-10
楚雄,4,0,0,云南省,0.0,2020-02-10
文山,2,0,0,云南省,0.0,2020-02-10
包头,11,8,0,内蒙古自治区,0.0,2020-03-05
呼和浩特,7,5,0,内蒙古自治区,0.0,2020-03-05
通辽,7,5,0,内蒙古自治区,0.0,2020-03-05
赤峰,9,8,0,内蒙古自治区,0.0,2020-03-05
锡林郭勒,9,8,0,内蒙古自治区,0.0,2020-03-05
乌兰察布,3,2,0,内蒙古自治区,0.0,2020-03-05
鄂尔多斯,11,11,0,内蒙古自治区,0.0,2020-03-05
巴彦淖尔,8,7,1,内蒙古自治区,0.0,2020-03-05
呼伦贝尔,7,7,0,内蒙古自治区,0.0,2020-03-05
乌海,2,2,0,内蒙古自治区,0.0,2020-03-05
兴安盟,1,1,0,内蒙古自治区,0.0,2020-03-05
呼和浩特（新城区）,2,0,0,内蒙古自治区,0.0,2020-01-28
呼伦贝尔满洲里,1,0,0,内蒙古自治区,0.0,2020-01-28
鄂尔多斯东胜,1,0,0,内蒙古自治区,0.0,2020-01-28
鄂尔多斯鄂托克前旗,1,0,0,内蒙古自治区,0.0,2020-01-28
赤峰市松山,1,0,0,内蒙古自治区,0.0,2020-01-28
赤峰市林西,1,0,0,内蒙古自治区,0.0,2020-01-28
呼伦贝尔牙克石,1,0,0,内蒙古自治区,0.0,2020-01-28
兴安盟乌兰浩特,1,0,0,内蒙古自治区,0.0,2020-01-28
包头市昆都仑,3,0,0,内蒙古自治区,0.0,2020-01-28
通辽市经济开发区,1,0,0,内蒙古自治区,0.0,2020-01-28
包头市东河,2,0,0,内蒙古自治区,0.0,2020-01-27
