uid,loan_sum
4,4.72302
5,6.58407
6,6.26669
17,5.65731
19,5.88577
23,3.86259
39,5.46463
43,5.29215
45,6.29205
56,6.72272
57,5.72277
60,5.29215
61,4.97484
64,3.86259
68,5.78198
70,6.15341
71,4.29265
72,4.88596
73,5.35136
79,3.86259
80,5.29215
81,5.65731
87,5.93181
89,5.24036
92,4.97484
100,6.29205
104,5.15354
109,5.50118
115,6.31642
116,6.74709
117,5.72277
121,6.73502
126,6.32826
133,6.94928
138,6.15341
139,6.31642
142,6.58407
150,6.40533
159,6.36247
170,5.29215
172,4.97484
177,5.93181
181,4.72302
182,5.45514
183,5.15354
188,5.15354
191,6.31642
193,4.54437
201,6.29205
202,6.10498
203,4.72302
215,5.15354
216,5.78198
235,5.40542
236,5.72277
239,6.62901
241,5.29215
258,7.01474
259,4.72302
261,5.72277
266,5.72277
276,6.15341
283,5.15354
287,5.29215
295,6.26669
298,5.15354
315,4.72302
316,4.72302
321,4.29265
325,6.15341
334,6.74709
339,6.836
343,5.72277
348,4.72302
354,6.58407
358,4.97484
361,5.15354
367,4.29265
368,4.8616
385,4.83625
387,4.72302
389,6.68427
393,5.2267
394,6.29205
400,5.88577
404,6.64329
406,5.58414
419,6.01477
420,5.03404
421,3.97567
425,5.72277
436,5.90922
439,5.51868
440,3.86259
444,4.54437
451,4.72302
458,4.15416
460,5.93623
463,5.29215
470,5.93181
473,4.69116
478,6.18373
483,5.72277
485,5.72277
490,5.72277
504,6.60695
505,6.15341
506,5.29215
517,5.58414
539,5.88577
547,4.29265
555,6.08795
568,6.01477
569,6.78194
573,6.15341
578,3.86259
582,4.72302
583,6.40533
586,4.97484
587,5.35136
594,5.19846
596,5.15354
598,6.05244
606,4.72302
611,5.29215
613,5.74714
616,5.72277
618,5.72277
620,5.29215
622,5.65731
623,5.97468
625,5.2668
627,5.88577
630,5.29215
641,6.58407
643,6.36247
646,5.15354
647,5.97468
651,6.15341
659,4.0713
660,6.27441
661,6.26669
666,3.86259
668,4.29265
671,4.97484
676,3.86259
681,6.21263
683,4.72302
691,5.50118
693,5.81498
696,5.45514
706,4.93199
711,6.72272
721,5.72277
723,5.71652
738,5.93181
739,4.97484
741,6.29205
745,5.83604
746,5.72277
754,4.15416
755,6.29205
758,6.12155
760,5.55227
764,4.72302
765,4.72302
769,6.40533
770,4.97484
774,6.72272
781,5.58414
782,5.72277
786,6.78194
796,5.29215
798,5.75897
804,5.29215
806,6.01477
814,6.42571
815,6.15341
818,5.62907
819,4.0713
825,5.15354
830,6.24025
832,6.2641
836,4.97484
840,4.29265
842,5.79318
850,3.86259
857,5.29215
873,6.72272
874,3.86259
882,4.8616
893,5.72277
894,5.97468
898,4.72302
900,6.89522
912,6.18962
916,5.15354
920,6.78307
930,6.21263
939,5.50118
950,5.50118
951,5.72277
955,5.15354
957,6.62901
960,5.72277
964,5.93181
974,6.40533
981,3.97567
994,5.29215
995,3.86259
997,6.40533
1000,6.42168
1004,6.15341
1008,6.15341
1011,5.83604
1017,5.72277
1022,5.35136
1023,6.29205
1028,5.39497
1032,4.8616
1044,5.78198
1048,4.29265
1050,5.6909
1053,5.40542
1062,5.58414
1063,4.54437
1071,5.97468
1075,5.97468
1076,4.54437
1098,5.72277
1111,6.01477
1112,6.29205
1113,4.72302
1132,5.78198
1139,6.01477
1148,5.65731
1149,5.29215
1153,5.29215
1154,5.40542
1158,5.15354
1160,6.40533
1166,6.62901
1171,3.86259
1175,6.42571
1176,5.99505
1181,5.29215
1188,4.72302
1192,5.29215
1195,5.36256
1205,5.15354
1209,5.29215
1216,6.00696
1217,5.35136
1224,6.72272
1229,5.15354
1230,5.29215
1231,6.64329
1232,4.72302
1237,5.93181
1238,6.15341
1241,4.72302
1244,5.72277
1258,6.62901
1259,3.86259
1270,5.40542
1285,5.97468
1290,6.07045
1308,4.72302
1313,6.12155
1314,4.97484
1325,4.72302
1327,6.40533
1328,5.75308
1332,3.97567
1333,6.40533
1337,6.15341
1341,4.29265
1348,5.29215
1351,5.65731
1355,5.40542
1357,4.72302
1358,6.29205
1369,6.12155
1373,4.29265
1377,5.38436
1379,6.46455
1381,6.07045
1385,5.97468
1387,5.58414
1396,5.92287
1400,4.97484
1402,6.15341
1404,4.8616
1418,4.97484
1421,4.54437
1429,5.15354
1431,5.72277
1435,4.40583
1446,4.29265
1447,5.72277
1451,5.07059
1452,4.97484
1458,5.78198
1459,6.18373
1467,5.2267
1475,5.29215
1477,6.08795
1478,5.07059
1479,6.836
1480,5.15354
1482,5.19846
1484,5.54404
1497,6.40533
1518,4.62209
1524,5.65731
1529,5.50118
1533,4.97484
1539,5.97468
1547,6.38427
1562,5.58414
1563,6.28203
1575,5.15354
1579,6.56834
1585,6.72272
1593,5.31652
1594,5.29215
1595,5.18385
1598,6.10498
1608,6.58407
1609,4.97484
1612,5.29215
1614,5.35136
1628,5.29215
1631,5.58414
1633,5.29215
1641,4.29265
1645,3.97567
1653,5.45514
1655,6.70635
1656,6.15341
1662,5.65037
1665,5.45514
1673,5.29215
1678,5.72277
1679,5.15354
1686,4.29265
1695,6.14086
1698,5.72277
1712,5.29215
1715,5.29215
1724,5.50118
1725,5.29215
1731,4.72302
1732,6.03389
1735,5.61445
1741,6.50111
1742,6.01477
1746,5.78198
1753,5.72277
1754,5.15354
1759,4.29265
1771,5.72277
1775,6.52718
1777,5.72277
1779,6.05244
1783,5.07059
1786,5.2267
1789,4.29265
1804,4.97484
1807,5.40542
1808,5.91835
1810,5.40542
1816,5.72277
1819,6.33525
1822,4.97484
1824,4.29265
1833,5.07059
1835,5.29215
1842,6.31642
1845,6.18373
1848,5.85641
1850,4.75332
1852,5.29215
1855,6.15341
1856,5.50118
1857,4.45552
1859,6.33987
1864,7.07396
1867,5.93181
1868,5.08809
1869,6.15341
1873,5.40542
1877,5.58414
1889,5.29215
1892,5.5357
1906,6.08795
1908,5.93181
1909,5.8096
1925,5.54404
1926,4.54437
1928,6.12155
1930,6.40533
1940,4.72302
1941,4.97484
1943,6.15341
1945,5.29215
1947,3.86259
1949,5.54404
1954,4.0713
1962,6.33987
1964,6.53564
1968,6.15341
1975,5.29215
1985,4.80982
1988,5.21274
1989,6.64329
1999,5.97468
2003,5.8614
2004,6.46455
2009,5.50118
2015,5.8096
2017,4.54437
2020,5.65731
2023,5.93181
2025,6.29205
2027,4.97484
2029,5.72277
2035,5.07059
2036,4.40583
2039,5.88577
2048,6.38212
2056,5.40542
2062,5.40542
2065,5.15354
2066,4.72302
2067,6.05244
2068,5.29215
2070,5.29215
2073,6.08795
2077,5.50118
2079,5.15354
2080,6.56834
2089,4.72302
2092,4.54437
2095,5.83604
2096,5.45514
2099,5.72277
2101,6.64329
2117,5.2668
2122,5.40542
2125,4.72302
2132,5.97052
2134,4.72302
2135,6.72272
2144,6.18373
