date,open,high,close,low,volume,p_change,最近N1个交易日最高价,最近N2个交易日最低价,当天的仓位,net,capital_index,策略每日涨跌幅
2015-05-22,74.8,74.8,74.8,74.8,342.24,10.0,74.8,74.8,,,,
2015-05-25,82.28,82.28,82.28,82.28,363.07,10.0,82.28,74.8,,,,
2015-05-26,90.51,90.51,90.51,90.51,71.1,10.0,90.51,74.8,1.0,1.1,74.8,10.0
2015-05-27,99.56,99.56,99.56,99.56,317.52,10.0,99.56,74.8,1.0,1.2100000000000002,82.28,10.0
2015-05-28,109.52,109.52,109.52,105.0,21251.58,10.0,109.52,74.8,1.0,1.3310000000000004,90.50800000000001,10.0
2015-05-29,109.0,120.47,120.47,102.5,134913.53,10.0,120.47,74.8,1.0,1.4641000000000006,99.55880000000002,10.0
2015-06-01,115.77,120.6,110.99,108.42,161872.47,-7.87,120.6,74.8,1.0,1.3488753300000005,91.72352244000001,-7.87
2015-06-02,108.88,122.09,122.09,106.0,107286.58,10.0,122.09,74.8,1.0,1.4837628630000006,100.89587468400002,10.0
2015-06-03,123.2,132.47,128.5,116.0,88807.63,5.25,132.47,74.8,1.0,1.5616604133075007,106.19290810491003,5.25
2015-06-04,123.13,127.96,116.11,115.65,65862.79,-9.64,132.47,74.8,1.0,1.4111163494646577,95.9559117635967,-9.64
2015-06-05,118.9,124.0,114.0,108.99,67050.32,-1.82,132.47,82.28,1.0,1.385434031904401,94.20951416949924,-1.82
2015-06-08,109.0,110.0,102.6,102.6,43084.46,-10.0,132.47,90.51,1.0,1.246890628713961,84.78856275254932,-10.0
2015-06-09,97.0,107.6,103.79,92.96,74837.79,1.16,132.47,92.96,1.0,1.261354560007043,85.77211008047891,1.16
2015-06-10,101.0,114.17,114.17,100.2,72016.82,10.0,132.47,92.96,1.0,1.3874900160077475,94.3493210885268,10.0
2015-06-11,114.3,123.0,122.0,112.88,91673.95,6.86,132.47,92.96,1.0,1.4826718311058789,100.82168451519973,6.86
2015-06-12,120.32,122.0,114.9,114.0,43749.34,-5.82,132.47,92.96,1.0,1.3963803305355167,94.95386247641511,-5.82
2015-06-15,112.74,112.83,103.41,103.41,48966.06,-10.0,132.47,92.96,1.0,1.256742297481965,85.4584762287736,-10.0
2015-06-16,96.71,99.0,93.07,93.07,66351.25,-10.0,132.47,92.96,1.0,1.1310680677337686,76.91262860589624,-10.0
