名称,关注,粉丝数,微博数量,创建时间,是否认证,hp关注,hc评论,ht转发
中国农业大学图书馆,0,0,0,0,否,0,0,0
中央民族大学图书馆,0,0,0,0,否,0,0,0
中国海洋大学图书馆,0,0,0,0,否,0,0,0
华中科技大学图书馆,0,0,0,0,否,0,0,0
国防科技大学图书馆,0,0,0,0,否,0,0,0
云南大学图书馆,0,0,0,0,否,0,0,0
新疆大学图书馆,0,0,0,0,否,0,0,0
同济大学图书馆,522,18285,12141,2011,是,18,25,38
四川大学图书馆,153,24091,9168,2011,是,31,21,45
清华大学图书馆,388,52228,6642,2010,是,13,25,42
武汉大学图书馆,370,34858,5227,2011,是,31,34,53
重庆大学图书馆,387,18689,3624,2009,是,18,29,35
北京大学图书馆,31,33293,3080,2013,是,20,11,33
厦门大学图书馆,216,28498,2842,2009,是,25,24,37
上海交通大学图书馆,176,8760,2616,2010,是,9,11,24
兰州大学图书馆,448,6071,2546,2013,是,9,10,19
东南大学图书馆,373,9016,2412,2011,是,9,11,20
复旦大学图书馆,131,24678,2105,2011,是,14,15,36
湖南大学图书馆,180,4479,2101,2012,是,9,13,12
吉林大学图书馆,160,3677,2026,2015,是,20,13,14
郑州大学图书馆,104,11350,2008,2013,是,18,18,15
华东师范大学图书馆,136,15875,1882,2011,是,13,22,27
电子科技大学图书馆,101,3389,1692,2013,是,7,11,8
南京大学图书馆,325,14821,1574,2011,是,10,10,20
中山大学图书馆,483,4321,1342,2012,是,8,11,19
南开大学图书馆,281,5418,1242,2011,是,8,9,17
浙江大学图书馆,199,3461,996,2012,是,5,8,15
北京航空航天大学图书馆,0,6118,937,2011,是,4,19,14
山东大学图书馆,46,2819,864,2013,是,5,7,8
中国人民大学图书馆,92,10799,769,2013,是,6,13,16
大连理工大学图书馆,173,1994,516,2011,否,3,10,6
西安交通大学图书馆,45,8304,421,2011,是,6,6,8
西北工业大学图书馆,45,8304,421,2011,是,3,7,8
东北大学图书馆,62,336,265,2014,是,2,2,2
哈尔滨工业大学图书馆,75,920,236,2011,是,3,7,5
华南理工大学图书馆,140,232,223,2011,否,2,4,4
北京理工大学图书馆,271,1925,201,2012,是,4,6,6
北京师范大学图书馆,201,355,120,2011,是,1,3,4
天津大学图书馆,0,12,68,2016,否,2,7,1
西北农林科技大学图书馆,31,2036,37,2013,是,3,5,6
中南大学图书馆,68,161,1,2014,是,1,4,0
中科学技术大学图书馆,0,3272,0,2012,是,0,0,0
